附件1：,,,
全国普通高等学校名单,,,
序号,学校名称,所在地,
985院校（39所）,,,
1,北京大学,北京市,
2,清华大学,北京市,
3,中国人民大学,北京市,
4,中央名族大学,北京市,
5,北京航空航天大学,北京市,
6,北京师范大学,北京市,
7,北京理工大学,北京市,
8,中国农业大学,北京市,
9,南京大学,南京市,
10,东南大学,南京市,
11,复旦大学,上海市,
12,上海交通大学,上海市,
13,同济大学,上海市,
14,华东师范大学,上海市,
15,国防科学技术大学,长沙市,
16,中南大学,长沙市,
17,湖南大学,长沙市,
18,武汉大学,武汉市,
19,华中科技大学,武汉市,
20,浙江大学,杭州市,
21,中山大学,广州市,
22,华南理工大学,广州市,
23,天津大学,天津市,
24,南开大学,天津市,
25,西安交通大学,西安市,
26,西北工业大学,西安市,
27,哈尔滨工业大学,哈尔滨市,
28,山东大学,济南市,
29,厦门大学,厦门市,
30,东北大学,沈阳市,
31,重庆大学,重庆市,
32,吉林大学,长春市,
33,中国科学技术大学,合肥市,
34,四川大学,成都市,
35,电子科技大学,成都市,
36,中国海洋大学,青岛市,
37,兰州大学,兰州市,
38,西北农林科技大学,咸阳市,
39,大连理工大学,大连市,
211院校（112所）,,,包括985院校共112所
40,北京科技大学,北京市,
41,北京邮电大学,北京市,
42,北京交通大学,北京市,
43,北京化工大学,北京市,
44,北京工业大学,北京市,
45,北京林业大学,北京市,
46,中国石油大学,北京市,
47,中国矿业大学,北京市,
48,北京中医药大学,北京市,
49,北京外国语大学,北京市,
50,中央传媒大学,北京市,
51,中央财经大学,北京市,
52,北京体育大学,北京市,
53,中央音乐学院,北京市,
54,中国政法大学,北京市,
55,华北电力大学,北京市,
56,对外经济贸易大学,北京市,
57,天津医科大学,天津市,
58,河北工业大学,天津市,
59,太原理工大学,太原市,
60,内蒙古大学,呼和浩特市,
61,辽宁大学,沈阳市,
62,大连海事大学,大连市,
63,延边大学,延吉市,
64,东北师范大学,长春市,
65,哈尔滨工程大学,哈尔滨市,
66,东北农业大学,哈尔滨市,
67,东北林业大学,哈尔滨市,
68,华东理工大学,上海市,
69,华东大学,上海市,
70,上海外国语大学,上海市,
71,上海财经大学,上海市,
72,上海大学,上海市,
73,第二军医大学,上海市,
74,苏州大学,苏州市,
75,南京航空航天大学,南京市,
76,南京理工大学,南京市,
77,中国矿业大学,南京市,
78,河海大学,南京市,
79,江南大学,南京市,
80,南京农业大学,南京市,
81,中国药科大学,南京市,
82,南京师范大学,南京市,
83,安徽大学,合肥市,
84,合肥工业大学,合肥市,
85,福州大学,福州市,
86,南昌大学,南昌市,
87,郑州大学,郑州市,
88,武汉理工大学,武汉市,
89,华中农业大学,武汉市,
90,华中师范大学,武汉市,
91,中南财经政法大学,武汉市,
92,湖南师范大学,长沙市,
93,暨南大学,广州市,
94,华南师范大学,广州市,
95,海南大学,海口市,
96,广西大学,南宁市,
97,西南交通大学,成都市,
98,四川农业大学,成都市,
99,西南财经大学,成都市,
100,西南大学,重庆市,
101,贵州大学,贵阳市,
102,云南大学,昆明市,
103,西藏大学,拉萨市,
104,西北大学,西安市,
105,西安电子科技大学,西安市,
106,长安大学,西安市,
107,陕西师范大学,西安市,
108,第四军医大学,西安市,
109,青海大学,西宁市,
110,宁夏大学,银川市,
111,新疆大学,乌鲁木齐市,
112,石河子大学,维吾尔自治区,
北京市（55所）,,,
1,北京大学,北京市,
2,清华大学,北京市,
3,中国人民大学,北京市,
4,北京交通大学,北京市,
5,北京工业大学,北京市,
6,北京航空航天大学,北京市,
7,北京理工大学,北京市,
8,北京科技大学,北京市,
9,北方工业大学,北京市,
10,北京化工大学,北京市,
11,北京工商大学,北京市,
12,北京服装学院,北京市,
13,北京邮电大学,北京市,
14,北京印刷学院,北京市,
15,北京建筑大学,北京市,
16,北京石油化工学院,北京市,
17,北京电子科技学院,北京市,
18,中国农业大学,北京市,
19,北京农学院,北京市,
20,北京林业大学,北京市,
21,北京协和医学院,北京市,
22,首都医科大学,北京市,
23,北京中医药大学,北京市,
24,北京师范大学,北京市,
25,首都师范大学,北京市,
26,首都体育学院,北京市,
27,北京外国语大学,北京市,
28,北京第二外国语学院,北京市,
29,北京语言大学,北京市,
30,中国传媒大学,北京市,
31,中央财经大学,北京市,
32,对外经济贸易大学,北京市,
33,北京物资学院,北京市,
34,首都经济贸易大学,北京市,
35,外交学院,北京市,
36,中国人民公安大学,北京市,
37,国际关系学院,北京市,
38,北京体育大学,北京市,
39,中央音乐学院,北京市,
40,中国音乐学院,北京市,
41,中央美术学院,北京市,
42,中央戏剧学院,北京市,
43,中国戏曲学院,北京市,
44,北京电影学院,北京市,
45,北京舞蹈学院,北京市,
46,中央民族大学,北京市,
47,中国政法大学,北京市,
48,华北电力大学,北京市,
49,中华女子学院,北京市,
50,北京信息科技大学,北京市,
51,中国矿业大学（北京）,北京市,
52,中国石油大学（北京）,北京市,
53,中国地质大学（北京）,北京市,
54,北京联合大学,北京市,
55,北京城市学院,北京市,
56,中国青年政治学院,北京市,
57,首钢工学院,北京市,
58,中国劳动关系学院,北京市,
59,北京吉利学院,北京市,
60,首都师范大学科德学院,北京市,
61,北京工商大学嘉华学院,北京市,
62,北京邮电大学世纪学院,北京市,
63,北京工业大学耿丹学院,北京市,
64,北京警察学院,北京市,
65,北京第二外国语学院中瑞酒店管理学院,北京市,
66,中国科学院大学,北京市,
67,北京工业职业技术学院,北京市,
68,北京信息职业技术学院,北京市,
69,北京电子科技职业学院,北京市,
70,北京京北职业技术学院,北京市,
71,北京交通职业技术学院,北京市,
72,北京青年政治学院,北京市,
73,北京农业职业学院,北京市,
74,北京政法职业学院,北京市,
