id,college,city,985,211
1,北京大学,北京市,1,1
2,清华大学,北京市,1,1
3,中国人民大学,北京市,1,1
4,中央名族大学,北京市,1,1
5,北京航空航天大学,北京市,1,1
6,北京师范大学,北京市,1,1
7,北京理工大学,北京市,1,1
8,中国农业大学,北京市,1,1
9,南京大学,南京市,1,1
10,东南大学,南京市,1,1
11,复旦大学,上海市,1,1
12,上海交通大学,上海市,1,1
13,同济大学,上海市,1,1
14,华东师范大学,上海市,1,1
15,国防科学技术大学,长沙市,1,1
16,中南大学,长沙市,1,1
17,湖南大学,长沙市,1,1
18,武汉大学,武汉市,1,1
19,华中科技大学,武汉市,1,1
20,浙江大学,杭州市,1,1
21,中山大学,广州市,1,1
22,华南理工大学,广州市,1,1
23,天津大学,天津市,1,1
24,南开大学,天津市,1,1
25,西安交通大学,西安市,1,1
26,西北工业大学,西安市,1,1
27,哈尔滨工业大学,哈尔滨市,1,1
28,山东大学,济南市,1,1
29,厦门大学,厦门市,1,1
30,东北大学,沈阳市,1,1
31,重庆大学,重庆市,1,1
32,吉林大学,长春市,1,1
33,中国科学技术大学,合肥市,1,1
34,四川大学,成都市,1,1
35,电子科技大学,成都市,1,1
36,中国海洋大学,青岛市,1,1
37,兰州大学,兰州市,1,1
38,西北农林科技大学,咸阳市,1,1
39,大连理工大学,大连市,1,1
41,北京邮电大学,北京市,0,1
42,北京交通大学,北京市,0,1
43,北京化工大学,北京市,0,1
44,北京工业大学,北京市,0,1
45,北京林业大学,北京市,0,1
46,中国石油大学,北京市,0,1
47,中国矿业大学,北京市,0,1
48,北京中医药大学,北京市,0,1
49,北京外国语大学,北京市,0,1
50,中央传媒大学,北京市,0,1
51,中央财经大学,北京市,0,1
52,北京体育大学,北京市,0,1
53,中央音乐学院,北京市,0,1
54,中国政法大学,北京市,0,1
55,华北电力大学,北京市,0,1
56,对外经济贸易大学,北京市,0,1
57,天津医科大学,天津市,0,1
58,河北工业大学,天津市,0,1
59,太原理工大学,太原市,0,1
60,内蒙古大学,呼和浩特市,0,1
61,辽宁大学,沈阳市,0,1
62,大连海事大学,大连市,0,1
63,延边大学,延吉市,0,1
64,东北师范大学,长春市,0,1
65,哈尔滨工程大学,哈尔滨市,0,1
66,东北农业大学,哈尔滨市,0,1
67,东北林业大学,哈尔滨市,0,1
68,华东理工大学,上海市,0,1
69,华东大学,上海市,0,1
70,上海外国语大学,上海市,0,1
71,上海财经大学,上海市,0,1
72,上海大学,上海市,0,1
73,第二军医大学,上海市,0,1
74,苏州大学,苏州市,0,1
75,南京航空航天大学,南京市,0,1
76,南京理工大学,南京市,0,1
77,中国矿业大学,南京市,0,1
78,河海大学,南京市,0,1
79,江南大学,南京市,0,1
80,南京农业大学,南京市,0,1
81,中国药科大学,南京市,0,1
82,南京师范大学,南京市,0,1
83,安徽大学,合肥市,0,1
84,合肥工业大学,合肥市,0,1
85,福州大学,福州市,0,1
86,南昌大学,南昌市,0,1
87,郑州大学,郑州市,0,1
88,武汉理工大学,武汉市,0,1
89,华中农业大学,武汉市,0,1
90,华中师范大学,武汉市,0,1
91,中南财经政法大学,武汉市,0,1
92,湖南师范大学,长沙市,0,1
93,暨南大学,广州市,0,1
94,华南师范大学,广州市,0,1
95,海南大学,海口市,0,1
96,广西大学,南宁市,0,1
97,西南交通大学,成都市,0,1
98,四川农业大学,成都市,0,1
99,西南财经大学,成都市,0,1
100,西南大学,重庆市,0,1
101,贵州大学,贵阳市,0,1
102,云南大学,昆明市,0,1
103,西藏大学,拉萨市,0,1
104,西北大学,西安市,0,1
105,西安电子科技大学,西安市,0,1
106,长安大学,西安市,0,1
107,陕西师范大学,西安市,0,1
108,第四军医大学,西安市,0,1
109,青海大学,西宁市,0,1
110,宁夏大学,银川市,0,1
111,新疆大学,乌鲁木齐市,0,1
112,石河子大学,维吾尔自治区,0,1
