id,sub,sub_code,college
0,0101,哲学,中国人民大学
1,0101,哲学,复旦大学
2,010101,马克思主义哲学,北京师范大学
3,010101,马克思主义哲学,南开大学
4,010101,马克思主义哲学,吉林大学
5,010101,马克思主义哲学,南京大学
6,010101,马克思主义哲学,武汉大学
7,010101,马克思主义哲学,中山大学
8,010101,马克思主义哲学,中共中央党校
9,010102,中国哲学,武汉大学
10,010104,逻辑学,中山大学
11,010105,伦理学,湖南师范大学
12,010107,宗教学,四川大学
13,010108,科学技术哲学,山西大学
14,010108,科学技术哲学,东北大学
15,0201,理论经济学,北京大学
16,0201,理论经济学,中国人民大学
17,0201,理论经济学,南开大学
18,0201,理论经济学,复旦大学
19,0201,理论经济学,厦门大学
20,0201,理论经济学,武汉大学
21,020101,政治经济学,南京大学
22,020101,政治经济学,四川大学
23,020101,政治经济学,西南财经大学
24,020101,政治经济学,西北大学
25,020102,经济思想史,上海财经大学
26,020104,西方经济学,华中科技大学
27,020105,世界经济,辽宁大学
28,0202,应用经济学,中国人民大学
29,0202,应用经济学,中央财经大学
30,0202,应用经济学,南开大学
31,0202,应用经济学,厦门大学
32,020201,国民经济学,北京大学
33,020201,国民经济学,辽宁大学
34,020202,区域经济学,兰州大学
35,020203,财政学,东北财经大学
36,020203,财政学,上海财经大学
37,020203,财政学,中南财经政法大学
38,020204,金融学,辽宁大学
39,020204,金融学,复旦大学
40,020204,金融学,武汉大学
41,020204,金融学,中南财经政法大学
42,020204,金融学,暨南大学
43,020204,金融学,西南财经大学
44,020205,产业经济学,北京交通大学
45,020205,产业经济学,东北财经大学
46,020205,产业经济学,复旦大学
47,020205,产业经济学,山东大学
48,020205,产业经济学,暨南大学
49,020205,产业经济学,西安交通大学
50,020206,国际贸易学,对外经济贸易大学
51,020206,国际贸易学,湖南大学
52,020207,劳动经济学,首都经济贸易大学
53,020208,统计学,天津财经大学
54,020208,统计学,西南财经大学
55,020209,数量经济学,清华大学
56,020209,数量经济学,吉林大学
57,020209,数量经济学,华侨大学
58,020210,国防经济,国防大学
59,020210,国防经济,军事经济学院
60,0301,法学,北京大学
61,0301,法学,中国人民大学
62,0301,法学,中国政法大学
63,030101,法学理论,吉林大学
64,030102,法律史,华东政法大学
65,030103,宪法学与行政法学,浙江大学
66,030104,刑法学,吉林大学
67,030105,民商法学,中南财经政法大学
68,030106,诉讼法学,西南政法大学
69,030107,经济法学,西南政法大学
70,030108,环境与资源保护法学,武汉大学
71,030109,国际法学,对外经济贸易大学
72,030109,国际法学,厦门大学
73,030109,国际法学,武汉大学
74,0302,政治学,北京大学
75,030201,政治学理论,南开大学
76,030201,政治学理论,天津师范大学
77,030201,政治学理论,吉林大学
78,030201,政治学理论,复旦大学
79,030202,中外政治制度,华中师范大学
80,030203,科学社会主义与国际共产主义运动,山东大学
81,030203,科学社会主义与国际共产主义运动,华中师范大学
82,030203,科学社会主义与国际共产主义运动,中共中央党校
83,030204,中共党史,中国人民大学
84,030204,中共党史,中共中央党校
85,030206,国际政治,中国人民大学
86,030207,国际关系,复旦大学
87,0303,社会学,北京大学
88,0303,社会学,中国人民大学
89,0303,社会学,上海大学
