id,code,sub,college
1,0808,电气工程,清华大学
2,0808,电气工程,浙江大学
3,0808,电气工程,华中科技大学
4,0808,电气工程,重庆大学
5,0808,电气工程,西安交通大学
6,080801,电机与电器,河北工业大学
7,080801,电机与电器,沈阳工业大学
8,080801,电机与电器,哈尔滨工业大学
9,080802,电力系统及其自动化,天津大学
10,080802,电力系统及其自动化,华北电力大学
11,080802,电力系统及其自动化,西南交通大学
12,080802,电力系统及其自动化,海军工程大学
13,080803,高电压与绝缘技术,哈尔滨理工大学
14,080804,电力电子与电力传动,中国矿业大学
15,080804,电力电子与电力传动,合肥工业大学
16,0808,电气工程,清华大学
17,0808,电气工程,浙江大学
18,0808,电气工程,华中科技大学
19,0808,电气工程,重庆大学
20,0808,电气工程,西安交通大学
21,080801,电机与电器,河北工业大学
22,080801,电机与电器,沈阳工业大学
23,080801,电机与电器,哈尔滨工业大学
24,080802,电力系统及其自动化,天津大学
25,080802,电力系统及其自动化,华北电力大学
26,080802,电力系统及其自动化,西南交通大学
27,080802,电力系统及其自动化,海军工程大学
28,080803,高电压与绝缘技术,哈尔滨理工大学
29,080804,电力电子与电力传动,中国矿业大学
30,080804,电力电子与电力传动,合肥工业大学
31,0809,电子科学与技术,北京大学
32,0809,电子科学与技术,清华大学
33,0809,电子科学与技术,北京邮电大学
34,0809,电子科学与技术,复旦大学
35,0809,电子科学与技术,东南大学
36,0809,电子科学与技术,电子科技大学
37,0809,电子科学与技术,西安电子科技大学
38,080901,物理电子学,北京理工大学
39,080901,物理电子学,哈尔滨工业大学
40,080902,电路与系统,西北工业大学
41,080903,微电子学与固体电子学,天津大学
42,080903,微电子学与固体电子学,吉林大学
43,080903,微电子学与固体电子学,南京大学
44,080903,微电子学与固体电子学,华中科技大学
45,080903,微电子学与固体电子学,西安交通大学
46,080904,电磁场与微波技术,北京航空航天大学
47,080904,电磁场与微波技术,上海交通大学
48,080904,电磁场与微波技术,南京理工大学
49,0809,电子科学与技术,北京大学
50,0809,电子科学与技术,清华大学
51,0809,电子科学与技术,北京邮电大学
52,0809,电子科学与技术,复旦大学
53,0809,电子科学与技术,东南大学
54,0809,电子科学与技术,电子科技大学
55,0809,电子科学与技术,西安电子科技大学
56,080901,物理电子学,北京理工大学
57,080901,物理电子学,哈尔滨工业大学
58,080902,电路与系统,西北工业大学
59,080903,微电子学与固体电子学,天津大学
60,080903,微电子学与固体电子学,吉林大学
61,080903,微电子学与固体电子学,南京大学
62,080903,微电子学与固体电子学,华中科技大学
63,080903,微电子学与固体电子学,西安交通大学
64,080904,电磁场与微波技术,北京航空航天大学
65,080904,电磁场与微波技术,上海交通大学
66,080904,电磁场与微波技术,南京理工大学
67,0804,仪器科学与技术,北京航空航天大学
68,0804,仪器科学与技术,天津大学
69,0804,仪器科学与技术,哈尔滨工业大学
70,080401,精密仪器及机械,清华大学
71,080401,精密仪器及机械,重庆大学
72,0804,仪器科学与技术,北京航空航天大学
73,0804,仪器科学与技术,天津大学
74,0804,仪器科学与技术,哈尔滨工业大学
75,080401,精密仪器及机械,清华大学
76,080401,精密仪器及机械,重庆大学
77,0805,材料科学与工程,清华大学
78,0805,材料科学与工程,北京航空航天大学
79,0805,材料科学与工程,北京科技大学
80,0805,材料科学与工程,天津大学
81,0805,材料科学与工程,东北大学
