安徽大学,081203计算机应用技术
北京大学,0801力学
,0809电子科学与技术
,081001通信与信息系统
,0812计算机科学与技术
,082703核技术及应用
,083001环境科学
北京工业大学,080502材料学
,081402结构工程
北京航空航天大学,080704流体机械及工程
,0801力学
,0802机械工程
,0804仪器科学与技术
,0805材料科学与工程
,080904电磁场与微波技术
,081001通信与信息系统
,0811控制科学与工程
,0812计算机科学与技术
,0825航空宇航科学与技术
北京化工大学,080502材料学
,080706化工过程机械
,0817化学工程与技术
北京交通大学,0810信息与通信工程
,081406桥梁与隧道工程
,0823交通运输工程
北京科技大学,081101控制理论与控制工程
,080203机械设计及理论
,0805材料科学与工程
,080601冶金工程
,080702热能工程
,0819矿业工程
北京理工大学,080502材料学
,081105导航、制导与控制
,082501飞行器设计
,080104工程力学
,0802机械工程
,0803光学工程
,080703动力机械及工程
,080901物理电子学
,0810信息与通信工程
,081101控制理论与控制工程
,081704应用化学
,0826兵器科学与技术
北京林业大学,082902木材科学与技术
北京师范大学,083001环境科学
北京邮电大学,0809电子科学与技术
,0810信息与通信工程
成都理工大学,0818地质资源与地质工程
大连海事大学,082302交通信息工程及控制
,082402轮机工程
大连理工大学,080703动力机械及工程
,0801力学
,080201机械制造及其自动化
,081402结构工程
,0815水利工程
,0817化学工程与技术
,082401船舶与海洋结构物设计制造
,083002环境工程
大庆石油学院,0820石油与天然气工程
第二炮兵工程学院,081105导航、制导与控制
,082602兵器发射理论与技术
电子科技大学,080300光学工程
,081203计算机应用技术
,0809电子科学与技术
,0810信息与通信工程
东北大学,081902矿物加工工程
,080203机械设计及理论
,0805材料科学与工程
,080601冶金工程
,0811控制科学与工程
,081203计算机应用技术
,081901采矿工程
东北林业大学,0829林业工程
东北农业大学,082801农业机械化工程
东华大学,080203机械设计及理论
,080502材料学
,0821纺织科学与工程
东南大学,080201机械制造及其自动化
,080702热能工程
,0809电子科学与技术
,0810信息与通信工程
,081101控制理论与控制工程
,081203计算机应用技术
,0813建筑学
,081402结构工程
,0823交通运输工程
,0831生物医学工程
福州大学,081402结构工程
复旦大学,080501材料物理与化学
,0809电子科学与技术
,081202计算机软件与理论
广西大学,081402结构工程
国防科学技术大学,080903微电子学与固体电子学
,082501飞行器设计
,080202机械电子工程
,0803光学工程
,0810信息与通信工程
,0811控制科学与工程
,0812计算机科学与技术
,082502航空宇航推进理论与工程
哈尔滨工程大学,081105导航、制导与控制
,0824船舶与海洋工程
哈尔滨工业大学,081002信号与信息处理
,083001环境科学
,0801力学
,0802机械工程
,0804仪器科学与技术
,0805材料科学与工程
,0807动力工程及工程热物理
,080801电机与电器
,080901物理电子学
,081001通信与信息系统
,0811控制科学与工程
,0812计算机科学与技术
,0814土木工程
,082501飞行器设计
,083002环境工程
哈尔滨理工大学,080803高电压与绝缘技术
海军工程大学,080802电力系统及其自动化
,082402轮机工程
海军航空工程学院,081001通信与信息系统
合肥工业大学,083203农产品加工及贮藏工程
,080203机械设计及理论
,080804电力电子与电力传动
河北工业大学,080501材料物理与化学
,080801电机与电器
河海大学,083002环境工程
,080104工程力学
,081401岩土工程
,0815水利工程
后勤工程学院,082003油气储运工程
湖南大学,080805电工理论与新技术
,0802机械工程
,081101控制理论与控制工程
,0814土木工程
,083002环境工程
华北电力大学,080702热能工程
,080802电力系统及其自动化
华东理工大学,080502材料学
,080706化工过程机械
,081101控制理论与控制工程
,0817化学工程与技术
,080201机械制造及其自动化
,081303建筑设计及其理论
,0805材料科学与工程
,081001通信与信息系统
,081701化学工程
,0822轻工技术与工程
,083201食品科学
华南农业大学,082801农业机械化工程
华中科技大学,081001通信与信息系统
,0802机械工程
